,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
3022,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,100,Blue,team,,Crest Gaming Act,,Syndra,Rumble,Lucian,Leona,Gangplank,1905,1,13,8,35,13,8,2.0,0.0,0.0,0.0,1.0,,,,0.4094,0.6614,1.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,52767,1661.9528,,108,3.4016,48,1.5118,43,282.0,8.8819,55205,34396,1083.3386,,48800.0,0.0145934,,768.0,175,120,3,29.7008,15462.0,18636.0,314.0,15016.0,17863.0,306.0,446.0,773.0,8.0,23163.0,28104.0,487.0,23334.0,28260.0,486.0,-171.0,-156.0,1.0
3023,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,200,Red,team,,Fukuoka SoftBank Hawks gaming,,Draven,Akali,Elise,LeBlanc,Qiyana,1905,0,8,13,23,8,13,1.0,0.0,0.0,0.0,0.0,,,,0.252,0.6614,0.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,45253,1425.2913,,112,3.5276,33,1.0394,49,217.0,6.8346,49349,28540,898.8976,,48093.0,-0.0145934,,755.0,219,149,19,30.6772,15016.0,17863.0,306.0,15462.0,18636.0,314.0,-446.0,-773.0,-8.0,23334.0,28260.0,486.0,23163.0,28104.0,487.0,171.0,156.0,-1.0
3048,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,1,Blue,top,apaMEN,Sengoku Gaming,Kennen,Irelia,Sett,Lucian,Braum,Aatrox,2195,0,2,1,2,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15836,432.8747,0.412117,20,0.5467,6,0.164,9,39.0,1.0661,14062,9309,254.4601,0.279219,12885.0,,326.0,322.0,4,4,0,8.9112,3811.0,5311.0,94.0,3008.0,4488.0,79.0,803.0,823.0,15.0,5910.0,8129.0,148.0,4848.0,7626.0,135.0,1062.0,503.0,13.0
3049,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,2,Blue,jng,Blank,Sengoku Gaming,Rek'Sai,Irelia,Sett,Lucian,Braum,Aatrox,2195,0,2,0,2,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4032,110.2141,0.104929,36,0.9841,13,0.3554,14,83.0,2.2688,10537,5784,158.1048,0.173484,9825.0,,195.0,17.0,178,115,9,5.3303,3620.0,3754.0,75.0,3065.0,2850.0,57.0,555.0,904.0,18.0,5171.0,5514.0,108.0,4357.0,4129.0,84.0,814.0,1385.0,24.0
3050,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,3,Blue,mid,Pirean,Sengoku Gaming,Akali,Irelia,Sett,Lucian,Braum,Aatrox,2195,0,1,5,3,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.164,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7521,205.5854,0.19572699999999998,18,0.492,9,0.246,7,50.0,1.3667,10765,6012,164.3371,0.180323,10210.0,,236.0,224.0,12,12,0,6.451,3205.0,4444.0,74.0,3616.0,4710.0,84.0,-411.0,-266.0,-10.0,4914.0,7077.0,124.0,4985.0,6610.0,117.0,-71.0,467.0,7.0
3051,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,4,Blue,bot,Yutorimoyashi,Sengoku Gaming,Miss Fortune,Irelia,Sett,Lucian,Braum,Aatrox,2195,0,1,2,1,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8844,241.7494,0.23015700000000003,18,0.492,11,0.3007,7,41.0,1.1207,14883,10130,276.9021,0.303845,14325.0,,388.0,331.0,57,56,0,10.6059,3023.0,2995.0,75.0,3431.0,3434.0,89.0,-408.0,-439.0,-14.0,4902.0,5149.0,127.0,5665.0,5704.0,143.0,-763.0,-555.0,-16.0
3052,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,5,Blue,sup,Enty,Sengoku Gaming,Tahm Kench,Irelia,Sett,Lucian,Braum,Aatrox,2195,0,0,3,1,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2193,59.9453,0.0570707,60,1.6401,10,0.2733,22,91.0,2.4875,6858,2105,57.5399,0.0631292,6700.0,,42.0,42.0,0,0,0,1.1481,1954.0,2129.0,14.0,2116.0,2714.0,13.0,-162.0,-585.0,1.0,3001.0,3239.0,24.0,3624.0,3974.0,25.0,-623.0,-735.0,-1.0
3053,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,6,Red,top,Dasher,Fukuoka SoftBank Hawks gaming,Vladimir,Elise,Syndra,Rumble,Leona,Ornn,2195,1,2,3,3,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3007,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18799,513.8679,0.289344,17,0.4647,6,0.164,4,30.0,0.82,14673,9920,271.1617,0.23644600000000002,12550.0,,355.0,332.0,23,16,2,9.7039,3008.0,4488.0,79.0,3811.0,5311.0,94.0,-803.0,-823.0,-15.0,4848.0,7626.0,135.0,5910.0,8129.0,148.0,-1062.0,-503.0,-13.0
3054,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,7,Red,jng,Tussle,Fukuoka SoftBank Hawks gaming,Lee Sin,Elise,Syndra,Rumble,Leona,Ornn,2195,1,2,1,5,11,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3007,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4701,128.5011,0.0723554,24,0.656,17,0.4647,12,64.0,1.7494,11352,6599,180.3827,0.15728599999999998,9675.0,,179.0,20.0,159,109,8,4.8929,3065.0,2850.0,57.0,3620.0,3754.0,75.0,-555.0,-904.0,-18.0,4357.0,4129.0,84.0,5171.0,5514.0,108.0,-814.0,-1385.0,-24.0
3055,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,8,Red,mid,Ramune,Fukuoka SoftBank Hawks gaming,LeBlanc,Elise,Syndra,Rumble,Leona,Ornn,2195,1,3,1,4,11,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3007,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18484,505.2574,0.284496,13,0.3554,15,0.41,9,49.0,1.3394,13038,8285,226.4692,0.197473,11505.0,,243.0,223.0,20,20,0,6.6424,3616.0,4710.0,84.0,3205.0,4444.0,74.0,411.0,266.0,10.0,4985.0,6610.0,117.0,4914.0,7077.0,124.0,71.0,-467.0,-7.0
3056,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,9,Red,bot,Honey,Fukuoka SoftBank Hawks gaming,Aphelios,Elise,Syndra,Rumble,Leona,Ornn,2195,1,3,1,4,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3007,0.4647,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19248,526.1412,0.296255,18,0.492,17,0.4647,5,56.0,1.5308,17450,12697,347.0706,0.302639,15025.0,,403.0,357.0,46,25,3,11.0159,3431.0,3434.0,89.0,3023.0,2995.0,75.0,408.0,439.0,14.0,5665.0,5704.0,143.0,4902.0,5149.0,127.0,763.0,555.0,16.0
3057,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,10,Red,sup,Pooh,Fukuoka SoftBank Hawks gaming,Nautilus,Elise,Syndra,Rumble,Leona,Ornn,2195,1,1,0,6,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3007,0.4647,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3739,102.205,0.057548800000000004,49,1.3394,20,0.5467,18,93.0,2.5421,9207,4454,121.7494,0.10615699999999999,7700.0,,46.0,46.0,0,0,0,1.2574,2116.0,2714.0,13.0,1954.0,2129.0,14.0,162.0,585.0,-1.0,3624.0,3974.0,25.0,3001.0,3239.0,24.0,623.0,735.0,1.0
3058,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,100,Blue,team,,Sengoku Gaming,,Irelia,Sett,Lucian,Braum,Aatrox,2195,0,6,11,9,6,11,0.0,0.0,0.0,0.0,0.0,,,,0.164,0.4647,0.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,38426,1050.369,,152,4.1549,49,1.3394,59,304.0,8.3098,57105,33338,911.2893,,53945.0,-0.045471,,936.0,251,187,9,32.4465,15613.0,18633.0,332.0,15236.0,18196.0,322.0,377.0,437.0,10.0,23898.0,29108.0,531.0,23479.0,28043.0,504.0,419.0,1065.0,27.0
3059,ESPORTSTMNT01/1304132,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304132?gameHash=ff37582431bd7e7b&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 10:22:57,1,10.02,200,Red,team,,Fukuoka SoftBank Hawks gaming,,Elise,Syndra,Rumble,Leona,Ornn,2195,1,11,6,22,11,6,1.0,0.0,0.0,0.0,1.0,,,,0.3007,0.4647,1.0,4.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,8.0,3.0,1.0,1.0,1.0,0.0,64971,1775.9727,,121,3.3075,75,2.0501,48,292.0,7.9818,65720,41953,1146.779,,56455.0,0.045471,,978.0,248,170,13,33.5125,15236.0,18196.0,322.0,15613.0,18633.0,332.0,-377.0,-437.0,-10.0,23479.0,28043.0,504.0,23898.0,29108.0,531.0,-419.0,-1065.0,-27.0
3828,ESPORTSTMNT01/1295562,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295562?gameHash=945a5ce8fc22f255&amp;tab=overview,LJL,2020,Spring,0,2020-02-11 11:01:46,1,10.02,1,Blue,top,Cogcog,Rascal Jester,Ornn,Lucian,Jarvan IV,Akali,LeBlanc,Zoe,2149,0,0,6,8,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2234,0.7259,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10633,296.873,0.186603,15,0.4188,2,0.0558,5,39.0,1.0889,11077,6417,179.1624,0.19575399999999998,11075.0,,220.0,190.0,30,17,0,6.1424,3453.0,4466.0,74.0,3489.0,4587.0,77.0,-36.0,-121.0,-3.0,5100.0,6966.0,119.0,4994.0,6579.0,122.0,106.0,387.0,-3.0
3829,ESPORTSTMNT01/1295562,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295562?gameHash=945a5ce8fc22f255&amp;tab=overview,LJL,2020,Spring,0,2020-02-11 11:01:46,1,10.02,2,Blue,jng,hachamecha,Rascal Jester,Elise,Lucian,Jarvan IV,Akali,LeBlanc,Zoe,2149,0,1,4,2,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2234,0.7259,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11481,320.5491,0.201485,46,1.2843,20,0.5584,15,96.0,2.6803,9917,5257,146.7752,0.16037,9925.0,,172.0,39.0,133,72,14,4.8022,3373.0,2931.0,53.0,3136.0,2801.0,57.0,237.0,130.0,-4.0,5025.0,4942.0,95.0,4391.0,4490.0,83.0,634.0,452.0,12.0
3830,ESPORTSTMNT01/1295562,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295562?gameHash=945a5ce8fc22f255&amp;tab=overview,LJL,2020,Spring,0,2020-02-11 11:01:46,1,10.02,3,Blue,mid,Ninja,Rascal Jester,Renekton,Lucian,Jarvan IV,Akali,LeBlanc,Zoe,2149,0,1,3,5,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2234,0.7259,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8914,248.8785,0.156435,17,0.4746,8,0.2234,6,41.0,1.1447,11200,6540,182.5966,0.199506,10550.0,,265.0,255.0,10,4,6,7.3988,3362.0,4833.0,86.0,3395.0,4856.0,91.0,-33.0,-23.0,-5.0,5203.0,7994.0,141.0,5094.0,7439.0,140.0,109.0,555.0,1.0
3831,ESPORTSTMNT01/1295562,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295562?gameHash=945a5ce8fc22f255&amp;tab=overview,LJL,2020,Spring,0,2020-02-11 11:01:46,1,10.02,4,Blue,bot,Art,Rascal Jester,Ashe,Lucian,Jarvan IV,Akali,LeBlanc,Zoe,2149,0,6,2,1,8,18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2234,0.7259,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,17610,491.6705,0.30904499999999996,11,0.3071,14,0.3909,4,55.0,1.5356,15939,11279,314.9093,0.344062,15100.0,,352.0,300.0,52,48,0,9.8278,3544.0,2811.0,78.0,3847.0,3222.0,83.0,-303.0,-411.0,-5.0,5483.0,5194.0,133.0,5992.0,5872.0,142.0,-509.0,-678.0,-9.0
3832,ESPORTSTMNT01/1295562,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295562?gameHash=945a5ce8fc22f255&amp;tab=overview,LJL,2020,Spring,0,2020-02-11 11:01:46,1,10.02,5,Blue,sup,viviD,Rascal Jester,Bard,Lucian,Jarvan IV,Akali,LeBlanc,Zoe,2149,0,0,3,8,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2234,0.7259,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8344,232.9642,0.146432,99,2.7641,27,0.7538,22,150.0,4.188,7948,3288,91.8008,0.10030900000000001,7050.0,,61.0,61.0,0,0,0,1.7031,2613.0,3019.0,13.0,2231.0,2501.0,12.0,382.0,518.0,1.0,3715.0,4051.0,25.0,3138.0,3247.0,17.0,577.0,804.0,8.0
